cell,x,y,cell_class,strain,GFP,tissue,sex,age,diameter,gene-b0001,gene-b0002,gene-b0003,gene-b0004,gene-b0005,gene-b0006,gene-b0007,gene-b0008,gene-b0009,gene-b0010,gene-b0011
1771017028_D03,28462.0,62493.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.856783,0,0,0,0,0,0,0,0,0,0,2
1771017028_D09,64814.0,40672.0,VLMC,PDGFRA-GFP,1,hippo CA1,1,22.0,6.277291,0,0,0,0,1,0,0,0,0,0,0
1771017028_E01,63864.0,40602.0,VLMC,PDGFRA-GFP,1,hippo CA1,1,22.0,5.681252,0,0,0,0,0,0,0,0,0,0,0
1771017028_E03,28688.0,62251.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.148752,0,0,0,0,0,0,0,0,0,0,0
1771017028_E08,64288.0,40546.0,VLMC,PDGFRA-GFP,1,hippo CA1,1,22.0,6.059262,0,0,0,0,0,0,0,0,0,0,0
1771017028_E12,64999.0,40763.0,VLMC,PDGFRA-GFP,1,hippo CA1,1,22.0,6.456829,0,0,0,0,0,0,0,0,0,0,0
1771017028_F08,28844.0,62830.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.666182,0,0,0,1,0,0,0,0,0,0,0
1771017028_G03,28837.0,62709.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.343627,0,0,0,0,0,0,0,2,0,0,0
1771017028_G05,27907.0,59379.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.416518,0,0,0,0,0,0,0,0,0,0,0
1771017028_G10,28382.0,59137.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.063588,0,0,0,0,0,0,0,0,0,0,0
1771017028_H09,35460.0,20881.0,MFOL2,PDGFRA-GFP,0,hippo CA1,1,22.0,8.126044,0,0,0,1,0,4,0,0,0,0,1
1771017029_A07,27627.0,58820.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.334465,0,0,0,0,0,1,0,0,0,0,1
1771017029_A09,27642.0,57990.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.380163,0,0,0,0,0,0,0,0,0,0,0
1771017029_D05,28509.0,59646.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,8.167314,0,0,0,0,0,2,0,1,0,0,0
1771017029_D09,28938.0,60576.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.907968,0,0,0,0,0,0,0,1,0,0,0
1771017029_D10,29166.0,61439.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,6.404546,0,0,0,1,0,0,0,0,0,0,2
1771017029_E01,28979.0,62356.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.882417,0,0,0,0,1,0,0,0,0,0,0
1771017029_E02,28842.0,62618.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.779374,0,0,0,0,1,0,0,0,0,0,1
1771017029_E07,28671.0,60541.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.47072,0,0,0,0,0,0,0,0,0,0,0
1771017029_E10,29046.0,61196.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.398363,0,0,0,0,0,0,0,0,0,0,0
1771017029_F03,29301.0,62352.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.882417,0,0,0,0,0,0,0,0,0,0,2
1771017029_F07,28916.0,62474.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.551293,0,0,0,0,0,0,0,0,0,0,1
1771017029_G01,28912.0,62703.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,10.3725,0,0,0,0,0,0,0,0,0,0,0
1771017029_H07,27668.0,59613.0,OPC,PDGFRA-GFP,1,hippo CA1,1,22.0,8.506082,0,0,0,3,0,1,0,0,0,0,0
1771017029_H12,64466.0,40323.0,VLMC,PDGFRA-GFP,1,hippo CA1,1,22.0,7.015828,0,0,0,0,0,1,0,3,0,0,1
1771017030_A03,28644.0,62524.0,OPC,PDGFRA-GFP,1,cortex S1,-1,22.0,6.147402,0,0,0,0,0,0,0,0,0,0,1
1771017030_A07,64852.0,40594.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,7.744722,0,0,0,0,0,2,0,0,0,0,1
1771017030_A09,28596.0,60157.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,6.671944,0,0,0,0,0,1,0,0,0,0,0
