cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
OPC	gene-b0001	1.70E-139	0.469434488	0.999	0.994	2.33E-135
OPC	gene-b0002	7.70E-137	0.433579445	0.999	0.995	1.06E-132
OPC	gene-b0003	1.12E-135	0.495043476	1	0.99	1.54E-131
OPC	gene-b0004	2.28E-130	0.480965974	0.999	0.992	3.12E-126
OPC	gene-b0005	4.47E-126	0.528988636	0.997	0.973	6.13E-122
OPC	gene-b0006	2.15E-123	-1.102637004	0.651	0.909	2.95E-119
OPC	gene-b0007	6.92E-120	0.519353316	0.996	0.963	9.49E-116
OPC	gene-b0008	1.82E-119	0.418743475	0.999	0.995	2.49E-115
OPC	gene-b0009	4.25E-116	-1.90432526	0.673	0.9	5.83E-112
OPC	gene-b0010	8.58E-113	-2.143507303	0.094	0.582	1.18E-108
COP	gene-b0197	1.20E-112	0.503195565	0.996	0.969	1.64E-108
COP	gene-b0198	2.27E-108	0.379639842	1	0.997	3.12E-104
COP	gene-b0199	4.02E-108	0.406521093	0.999	0.993	5.51E-104
COP	gene-b0200	2.17E-106	0.459146551	0.997	0.979	2.97E-102
COP	gene-b0201	3.95E-104	0.434327666	0.997	0.982	5.41E-100
COP	gene-b0202	9.61E-103	0.687127796	0.894	0.593	1.32E-98
COP	gene-b0203	1.15E-102	0.527759238	0.996	0.974	1.57E-98
COP	gene-b0204	6.77E-102	-2.5608313	0.259	0.659	9.29E-98
COP	gene-b0205	2.47E-101	0.410154828	1	0.989	3.39E-97
COP	gene-b0206	1.18E-100	-1.963079184	0.164	0.604	1.61E-96
NFOL1	gene-b0406	3.02E-100	0.387895409	0.996	0.995	4.13E-96
NFOL1	gene-b0407	1.98E-99	0.435254517	0.99	0.991	2.71E-95
NFOL1	gene-b0408	3.36E-99	0.504407182	0.996	0.964	4.60E-95
NFOL1	gene-b0409	3.59E-98	-1.987493455	0.2	0.622	4.92E-94
NFOL1	gene-b0410	1.93E-94	0.47382401	1	1	2.64E-90
NFOL1	gene-b0411	4.48E-92	0.377908422	0.999	0.987	6.14E-88
NFOL1	gene-b0412	2.23E-90	0.398300567	0.999	0.977	3.05E-86
NFOL1	gene-b0413	7.40E-89	0.327136403	1	0.999	1.01E-84
NFOL1	gene-b0414	8.32E-89	0.459998311	0.986	0.956	1.14E-84
NFOL1	gene-b0415	1.52E-88	-1.138364753	0.698	0.852	2.09E-84
NFOL2	gene-b0605	1.78E-88	-1.712078842	0.033	0.456	2.44E-84
NFOL2	gene-b0606	5.81E-88	0.32717121	1	0.995	7.97E-84
NFOL2	gene-b0607	1.17E-87	0.34709031	1	0.995	1.61E-83
NFOL2	gene-b0608	1.82E-86	-0.886739361	0.81	0.941	2.50E-82
NFOL2	gene-b4734	7.06E-86	0.344623553	0.99	0.989	9.68E-82
NFOL2	gene-b0610	2.06E-85	-1.920516999	0.181	0.576	2.83E-81
NFOL2	gene-b0611	3.07E-85	0.425010147	0.987	0.967	4.21E-81
